Model,Food Security Level,FOODSEC,% Difference,95% LCI ,95% UCI ,P-Value
BPA,1 (Ref),High,,,,
BPA,2,Marginal,1.80,-5.91,10.15,0.65
BPA,3,Low,7.53,-1.27,17.12,0.09
BPA,4,Very Low,7.61,-4.48,21.23,0.22
BP3,1 (Ref),High,,,,
BP3,2,Marginal,-19.82,-31.68,-5.91,0.01
BP3,3,Low,-17.40,-29.05,-3.84,0.01
BP3,4,Very Low,-19.55,-35.27,-0.02,0.05
TRS,1 (Ref),High,,,,
TRS,2,Marginal,-14.72,-28.86,2.22,0.08
TRS,3,Low,-12.65,-25.06,1.80,0.08
TRS,4,Very Low,-24.46,-36.76,-9.77,0.00
BUP,1 (Ref),High,,,,
BUP,2,Marginal,-14.08,-21.33,-6.15,0.00
BUP,3,Low,-12.94,-23.29,-1.18,0.03
BUP,4,Very Low,-25.49,-34.95,-14.66,0.00
EPB,1 (Ref),High,,,,
EPB,2,Marginal,-10.97,-21.90,1.50,0.08
EPB,3,Low,-5.65,-17.98,8.53,0.41
EPB,4,Very Low,-25.96,-35.07,-15.57,0.00
MPB,1 (Ref),High,,,,
MPB,2,Marginal,-16.65,-26.78,-5.10,0.01
MPB,3,Low,-14.81,-28.35,1.29,0.07
MPB,4,Very Low,-21.53,-35.05,-5.18,0.01
PPB,1 (Ref),High,,,,
PPB,2,Marginal,-16.26,-28.75,-1.59,0.03
PPB,3,Low,-15.16,-32.01,5.85,0.14
PPB,4,Very Low,-25.08,-40.79,-5.20,0.02
